channel,sensorID
channel_1,TSA1-27
channel_2,GS10-1
channel_3,GS10-3
channel_4,GS10-6
channel_5,GS10-7
channel_6,GS10-8
channel_7,GS8-3
channel_8,GS8-7
channel_9,GS9-10
channel_10,GS9-5
channel_11,GS9-6
