channel,sensorID
channel_1,TSA1-22
channel_2,GS10-1
channel_3,GS10-6
channel_4,GS10-8
channel_5,GS8-1
channel_6,GS8-3
channel_7,GS9-10
channel_8,GS9-5
channel_9,GS9-6
