0,1,2
-26.38079648606075,-14.93097981000772,-23.650572537094057
-26.2346913109656,-14.666932948437683,-23.520434718624635
-26.089570010231625,-14.30676348051865,-23.27431750250367
-25.943112914019228,-14.061753734173667,-23.096831498511733
-25.831837561939132,-13.947769261820294,-22.97358453562813
-25.762695687906806,-13.782046647288265,-22.934116941339973
-25.717063803249182,-13.659456259399278,-22.84830557577644
-25.6680583129012,-13.586347835542803,-22.78024555735493
-25.619967056652744,-13.610750460589777,-22.68248052289265
-25.55660020662527,-13.557494946775865,-22.639773900697882
-25.485830817343043,-13.463097395556403,-22.58941052730991
-25.39898845783626,-13.33042528840155,-22.50413201865834
-25.301193503093035,-13.204592850113876,-22.36346057535084
-25.210385436812206,-13.101308372919457,-22.266008450619893
-25.134441853127353,-13.046672753496644,-22.2114949193877
-25.070257871118244,-12.976693082582214,-22.17186204550993
-25.0151698217715,-12.88386964912897,-22.0843157974455
-24.967137930389143,-12.78481552494933,-21.999449215184477
-24.927523555879603,-12.723726333389973,-21.9350754341994
-24.893177825134927,-12.683399854094816,-21.909064146677856
-24.863785046169294,-12.641800569584706,-21.870355670618583
-24.83600033768287,-12.58625246224911,-21.818705543559226
-24.81051120842357,-12.538309562697808,-21.753955723613466
-24.786482382693247,-12.501091575469342,-21.706700380101722
-24.7633151107417,-12.472861107093587,-21.672094378036892
-24.74136225740842,-12.429158322283246,-21.634663897965964
-24.721925746451312,-12.37042779099965,-21.571598554009725
-24.705920961805287,-12.310541603445209,-21.5058558572629
-24.69453790107181,-12.268992394760929,-21.453813688112746
-24.687657557795482,-12.23720239832489,-21.41814927093518
-24.685352381316147,-12.204083293525148,-21.3775599202919
-24.686889190528436,-12.166658077058974,-21.331260723348077
-24.691370159084034,-12.134173337868033,-21.284644546788122
-24.69762763414776,-12.109967687448108,-21.249814130110096
-24.705395209368245,-12.093493856093342,-21.22222180619054
-24.714639466837447,-12.073969617857784,-21.193250832359297
-24.725412733661237,-12.049026921208593,-21.156228441305814
-24.737486162511043,-12.024457401655743,-21.119987253285075
-24.750735845680516,-12.008265534905837,-21.09058609457442
-24.76518633015435,-11.99604681625214,-21.067117326058
-24.781234288400643,-11.981320430486555,-21.041426724441514
-24.79886607959104,-11.963590614971821,-21.0132460609585
-24.81774262923416,-11.948460966903848,-20.98593613288743
-24.83754216177806,-11.93808379258721,-20.96393079533513
-24.8582942696545,-11.930750666925974,-20.94548767421431
-24.879978502679606,-11.922340802401752,-20.927317976217978
-24.902364502214077,-11.912262740106655,-20.906972167358354
-24.925056414306137,-11.902926738355937,-20.887440287353677
-24.94787017284343,-11.897151385490893,-20.8714025748805
-24.970817686888708,-11.89315464985786,-20.858348492407277
-24.99397252221692,-11.887938265398008,-20.844777800218072
-25.01723309490875,-11.881106549887345,-20.830196524017023
-25.04043420792209,-11.875150280773944,-20.816339979450415
-25.063492712647594,-11.871198817120522,-20.805055759637565
-25.08647199902359,-11.868324301116369,-20.79564822206831
-25.10939703541898,-11.864824641809003,-20.786659197928337
-25.132168876776998,-11.860545389453073,-20.777209435665494
-25.154633150164198,-11.856668017134655,-20.768462687369848
-25.176728138392136,-11.854324552351379,-20.76161260448567
-25.19845671537651,-11.85275916757627,-20.75645891551959
