0,1,2
-24.269019372008174,-16.418325181607607,-21.93937785591338
-24.033591961675416,-16.153022811807038,-21.62732624302512
-23.82897110819245,-15.785478721218066,-21.307834772975227
-23.673998123631584,-15.431439117007539,-21.056311708420782
-23.515532434500905,-15.133570874228223,-20.743451091478676
-23.356467044877295,-14.745847376962232,-20.378645768998506
-23.215668424875073,-14.491135942954529,-20.169081507754708
-23.074849883353455,-14.249380532496737,-20.069502836370855
-22.924778536626842,-14.042492717339439,-19.946863092619857
-22.76328736451773,-13.910466032006077,-19.860729894224438
-22.607336517156426,-13.758539699079016,-19.708813125363662
-22.44075812760998,-13.595923678055321,-19.612599234200726
-22.26929213066959,-13.42172073032105,-19.523223431419545
-22.081512263823885,-13.206462632511963,-19.410992205312674
-21.88273506198527,-12.980787814524739,-19.254337927404766
-21.68976618525768,-12.750141868340277,-19.10683035530894
-21.505622486415504,-12.582141252829299,-18.9899946335317
-21.3275543634658,-12.41088942111088,-18.89893045642082
-21.15927107254083,-12.234076912517999,-18.782807870173166
-20.99767507959276,-12.045639707717502,-18.656450708854344
-20.84284698706362,-11.856967441646308,-18.52686586689029
-20.692076072816864,-11.678253286287639,-18.421895333733104
-20.54472706678479,-11.501135560059453,-18.312510803986516
-20.40145725936184,-11.325681667480538,-18.19919573402049
-20.264834345026355,-11.156728098709799,-18.072834102916822
-20.134817490027284,-10.991070936438586,-17.955054713608504
-20.0103666881747,-10.843091560703453,-17.850485779104716
-19.89106282690266,-10.696062091162654,-17.75158151725739
-19.778117350504896,-10.54424151957284,-17.63910679039415
-19.6719839091593,-10.388841912789813,-17.525636545990004
