0,1,2
-26.377322959955375,-14.975553723765803,-23.669511177313428
-26.222016862339608,-14.764402602968806,-23.55696480984325
-26.065794390897963,-14.454938542406262,-23.343789169936993
-25.907568273178704,-14.24096410323073,-23.19498337995934
-25.790991620678756,-14.14228962104445,-23.093454753478376
-25.712460762617418,-13.992274802698326,-23.060691547131732
-25.653781124533147,-13.883822529464585,-22.981093121771984
-25.584918028973284,-13.822746270005853,-22.92566368858782
-25.514878351382738,-13.848485196515316,-22.839114418798047
-25.42816126406569,-13.804212046149086,-22.792573837736967
-25.333491166363807,-13.723661936757075,-22.734217869795422
-25.219132784036297,-13.61071911771857,-22.644129820662435
-25.093612859905004,-13.499244103631806,-22.50093480815144
-24.974622756753035,-13.403927952467349,-22.398863962763635
-24.871433103406353,-13.34758356519686,-22.332752609870866
-24.778883694031915,-13.273896424587175,-22.27902469738053
-24.694976062953245,-13.182381649343524,-22.182041705436642
-24.61759914528612,-13.088444293197487,-22.09318858119842
-24.549931904052603,-13.029423002846519,-22.024599122680286
-24.487574949850558,-12.984132270075513,-21.98949751282322
-24.428766720020473,-12.937089976691649,-21.93971990106904
-24.369123410018062,-12.878392835549928,-21.877450621169352
-24.310335231417127,-12.826354871844494,-21.80179504903961
-24.25202758236229,-12.782978607319045,-21.741653327774426
-24.194078954618195,-12.747057501236304,-21.689916347919368
-24.13625782750603,-12.69541007072231,-21.633246833782486
-24.08046166745779,-12.629745966299371,-21.552067263402833
-24.02813957251523,-12.56367420654217,-21.47068314356674
-23.980843588478596,-12.514044703574564,-21.402389081794922
-23.937977553009603,-12.470339232486115,-21.348058731548626
-23.899587401895513,-12.42429088972348,-21.287751782172013
-23.86494984394848,-12.375130768411854,-21.22274741377656
-23.833504490102037,-12.331608499019168,-21.158056170281
-23.803988269368254,-12.295249619786052,-21.104465366183128
-23.775918480684055,-12.265076190713309,-21.056231645729316
-23.74897984351931,-12.231530961150764,-21.0053731988705
-23.723369386417012,-12.193240223380904,-20.946231433151368
-23.698980056128224,-12.155565222202199,-20.888348138660998
-23.675818868953023,-12.125247661507103,-20.836653475831373
-23.653917304749452,-12.097295732566252,-20.789293937111346
-23.633802388653685,-12.066336126309755,-20.738621959812555
-23.615583137842094,-12.032764255019273,-20.685852176575658
-23.599066732183953,-12.001935407657879,-20.634525774027082
-23.58390933735227,-11.97514207577495,-20.588264169840997
-23.57011438267367,-11.950688552516276,-20.544655535336016
-23.5576233298437,-11.925075316439754,-20.50082411131025
-23.546219094675326,-11.898231099008521,-20.454981692786628
-23.535480590629724,-11.872459184273882,-20.410318035576026
-23.525206631071917,-11.850009186361167,-20.368829443054924
-23.515385045943965,-11.828718946472986,-20.329507810981184
-23.506112761183203,-11.806008268819625,-20.289129504915824
-23.497306593976962,-11.781988222229867,-20.247887265186765
-23.488837542222562,-11.75902580611004,-20.20757266351747
-23.48065650416202,-11.737746450083556,-20.169621503343258
-23.472872719895484,-11.717177375090351,-20.13307714405893
-23.465520634746525,-11.69597599028128,-20.096757171217366
-23.45850011432279,-11.674266875141491,-20.060147404996627
-23.45164917981932,-11.653146723250732,-20.024486103409217
-23.44490656599229,-11.633508458019026,-19.990668149631937
-23.438261517973444,-11.614492751424766,-19.95827878669712
